City,_1950,_1960,_1970,_1980,_1990,_2000,_2010
Cleveland,148000/914808,251000/876050,287791/750903,251347/573822,235405/505616,243598/478403,211672/396815
Suburbs,3352/474575,4513/769203,40306/967717,89656/924071,114696/907328,139034/916085,168660/883502
